,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,EducationTypes,SelfTaughtTypes,LanguageWorkedWith,Salary,LanguageDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,OperatingSystem,Age,ConvertedSalary
83779,United States,No,"Not employed, but looking for work","Bachelor’s degree (BA, BS, B.Eng., etc.)","A humanities discipline (ex. literature, history, philosophy)",,Front-end developer;Full-stack developer;Student,0-2 years,0-2 years,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Pre-scheduled tutoring or mentoring sessions with a friend or colleague,JavaScript;SQL;HTML;CSS,0,Java;JavaScript;PHP;Python;Scala;SQL;HTML;CSS;Bash/Shell,Angular;Node.js;React,Node.js;React,MacOS,18 - 24 years old,0.0
74791,Poland,No,"Independent contractor, freelancer, or self-employed","Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",,Back-end developer;Full-stack developer;Mobile developer,12-14 years,3-5 years,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course",The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow,C#;JavaScript;SQL;HTML;CSS,8000,C#;F#;JavaScript;Objective-C;SQL;TypeScript;HTML;CSS;Bash/Shell,.NET Core,.NET Core;React;Cordova,Windows,25 - 34 years old,
90391,France,No,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",,,21-23 years,,"Taught yourself a new language, framework, or tool without taking a formal course",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,Java;JavaScript;Python;HTML;CSS;Bash/Shell,,JavaScript;Python;HTML;CSS;Bash/Shell,,Django;Node.js;React;TensorFlow;Torch/PyTorch,MacOS,35 - 44 years old,
92415,Egypt,No,"Not employed, but looking for work",Some college/university study without earning a degree,Web development or web design,,Back-end developer;Designer;Full-stack developer;Student,0-2 years,,,,HTML;CSS,,JavaScript;PHP;Python;HTML;CSS,,Angular;Django;Node.js;React,Windows,,
77372,Indonesia,"Yes, full-time","Independent contractor, freelancer, or self-employed","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",,Back-end developer;Front-end developer;Mobile developer;Student,3-5 years,0-2 years,,,Java;JavaScript;PHP;Python;HTML;CSS,,,,,MacOS,18 - 24 years old,
72822,United States,"Yes, full-time",Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",,Data scientist or machine learning specialist;Educator or academic researcher;Student,9-11 years,3-5 years,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,Java;Matlab;Python;HTML;CSS;Bash/Shell,2200,Java;Python;HTML;CSS;Bash/Shell,Torch/PyTorch,Torch/PyTorch,Linux-based,25 - 34 years old,26400.0
3773,Italy,"Yes, full-time",Employed part-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",500 to 999 employees,Front-end developer;Full-stack developer,6-8 years,3-5 years,,,,,,,,,,
91360,India,No,"Not employed, but looking for work","Bachelor’s degree (BA, BS, B.Eng., etc.)",,,,0-2 years,,,,,,C;C#;JavaScript;SQL;HTML,,Angular;.NET Core,Windows,,
82394,Russian Federation,"Yes, full-time","Not employed, and not looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Back-end developer;Desktop or enterprise applications developer;Educator or academic researcher;Full-stack developer;Student,3-5 years,0-2 years,"Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",,,C#;Go;JavaScript,.NET Core,.NET Core,Windows,18 - 24 years old,
26658,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Full-stack developer;Mobile developer,3-5 years,3-5 years,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course","A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book",Java;JavaScript;SQL;Cobol;HTML;CSS;Bash/Shell,61000,C#;Java;Python;Swift;Bash/Shell,Spring,.NET Core;Spring,Windows,25 - 34 years old,61000.0
