,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,EducationTypes,SelfTaughtTypes,LanguageWorkedWith,Salary,LanguageDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,OperatingSystem,Age,ConvertedSalary
30850,Portugal,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration",20 to 99 employees,Back-end developer;Desktop or enterprise applications developer,6-8 years,6-8 years,"Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",C++;Java;Python,1800,C++;Python;Rust,Spring,.NET Core;Django,Linux-based,25 - 34 years old,26436.0
9307,India,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data or business analyst;Desktop or enterprise applications developer;Front-end developer,3-5 years,3-5 years,,,C#;JavaScript;VBA;VB.NET;HTML,,C#;JavaScript;VBA;VB.NET;HTML,.NET Core,Angular;.NET Core,Windows,,
69938,Canada,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Front-end developer;Full-stack developer;Mobile developer,12-14 years,12-14 years,"Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology",Java;Objective-C;PHP;Swift,150000,Java;Swift;Kotlin,,,MacOS,35 - 44 years old,150000.0
6983,Malaysia,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer,6-8 years,6-8 years,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",Assembly;C;C++;C#;Groovy;Java;JavaScript;PHP;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell,,Groovy;Java;JavaScript;Ruby;TypeScript;HTML;CSS;Bash/Shell,Angular;Node.js;Cordova;Spring,Node.js;Cordova,Windows,25 - 34 years old,
73361,Denmark,No,"Independent contractor, freelancer, or self-employed","Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",,Back-end developer;Front-end developer;Full-stack developer;Mobile developer;System administrator,15-17 years,3-5 years,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",C#;JavaScript;Python;HTML;CSS,120000,C#;JavaScript;Python;HTML;CSS,Django;React;Xamarin;TensorFlow,Django;React;Xamarin;TensorFlow,MacOS,25 - 34 years old,
241,Poland,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","5,000 to 9,999 employees",Back-end developer,3-5 years,3-5 years,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",C++;Python;Bash/Shell,9500,C++;Java;Python;HTML;CSS;Bash/Shell,,Angular;Django;Xamarin;Spring,Linux-based,25 - 34 years old,33528.0
12634,India,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Full-stack developer,0-2 years,0-2 years,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees",Java;JavaScript;TypeScript;HTML;CSS;Bash/Shell,,Julia;Python;R;Swift;Kotlin,Angular;Node.js,Hadoop;React;Spark;Cordova;TensorFlow;Torch/PyTorch,Windows,18 - 24 years old,
708,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A humanities discipline (ex. literature, history, philosophy)","10,000 or more employees",Front-end developer,0-2 years,0-2 years,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",JavaScript;HTML;CSS,85000,JavaScript;HTML;CSS,Angular;Node.js;React,Node.js;React,MacOS,25 - 34 years old,85000.0
8821,Argentina,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Front-end developer;Full-stack developer,24-26 years,12-14 years,"Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow,C++;C#;F#;Haskell;JavaScript;TypeScript;HTML;CSS,44000,C++;C#;F#;Haskell;JavaScript;Rust;TypeScript;HTML;CSS,.NET Core,.NET Core,Windows,25 - 34 years old,27972.0
74961,Canada,No,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",,Back-end developer;Embedded applications or devices developer;Front-end developer;Full-stack developer;Game or graphics developer,9-11 years,9-11 years,"Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",Assembly;C#;Clojure;Erlang;F#;Go;Haskell;JavaScript;Python;Ruby;Rust;VB.NET;Visual Basic 6,100000,Assembly;C#;Erlang;F#;Haskell;Julia;Python;Ruby;Rust;Swift,Node.js,.NET Core;React,MacOS,25 - 34 years old,80521.0
14333,South Africa,"Yes, part-time",Employed full-time,Some college/university study without earning a degree,"A business discipline (ex. accounting, finance, marketing)",20 to 99 employees,Desktop or enterprise applications developer,0-2 years,0-2 years,"Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",C++;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,10000,C++;C#;Python;SQL,,,Windows,18 - 24 years old,9888.0
54481,United Kingdom,No,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,100 to 499 employees,Embedded applications or devices developer,9-11 years,0-2 years,"Taken an online course in programming or software development (e.g. a MOOC);Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees",C;C++;Python;Bash/Shell,22000,C;C++;Python;Bash/Shell,,TensorFlow,Linux-based,18 - 24 years old,30559.0
35135,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",20 to 99 employees,System administrator,12-14 years,,,,,,,,,,,
80483,United States,No,"Not employed, and not looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Game or graphics developer;Student,3-5 years,0-2 years,"Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",Python,,Python,,,MacOS,Under 18 years old,
82638,United States,"Yes, full-time","Not employed, but looking for work","Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)",,Back-end developer;Designer;Front-end developer;Full-stack developer;Student,3-5 years,0-2 years,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow,Assembly;C++;Groovy;Java;JavaScript;Python;SQL;TypeScript;HTML;CSS,,C#;Groovy;JavaScript;Python;SQL;TypeScript;HTML,Angular;Node.js,Angular;Django;Node.js;Spring,Windows,18 - 24 years old,
36441,Canada,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Embedded applications or devices developer,6-8 years,0-2 years,"Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",Assembly;C;C++;Rust;Bash/Shell,70000,C;C++;Rust,,,Linux-based,25 - 34 years old,56365.0
51101,Czech Republic,"Yes, full-time",Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",10 to 19 employees,Back-end developer,3-5 years,3-5 years,Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development,,,40000,JavaScript,Node.js,TensorFlow,MacOS,25 - 34 years old,23172.0
16930,Canada,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer,12-14 years,12-14 years,"Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",C++;Groovy;Java;Python;SQL;Bash/Shell,85000,C++;Java;Python;R;SQL;Swift;Kotlin;Bash/Shell,Spring,Angular;Node.js;React;Spring,Windows,35 - 44 years old,68443.0
71255,United States,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering","10,000 or more employees",,9-11 years,,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",C;C++;Go;JavaScript;Lua;Python;HTML;CSS;Bash/Shell,,Assembly;C;Go;JavaScript;Rust,Node.js,TensorFlow,Linux-based,18 - 24 years old,
17218,Finland,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,"C-suite executive (CEO, CTO, etc.)",27-29 years,,"Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",C;C#;Java;Matlab;HTML;CSS,,,,,Windows,45 - 54 years old,
49159,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Full-stack developer,12-14 years,6-8 years,"Taken an online course in programming or software development (e.g. a MOOC);Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)",,JavaScript;Python,165000,JavaScript;Python;R,React,React;TensorFlow,MacOS,,165000.0
94604,Belgium,No,,Primary/elementary school,,,,,,,,,,,,,,,
63938,Bulgaria,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Designer;Educator or academic researcher;Front-end developer;Mobile developer;QA or test developer,6-8 years,0-2 years,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow,C#;Java;JavaScript;Objective-C;Swift;HTML,,C#;Java;JavaScript;Swift;Kotlin,,Angular;Node.js;React;Xamarin,MacOS,25 - 34 years old,
93395,France,"Yes, full-time",,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",,Data scientist or machine learning specialist;Student,6-8 years,,,,,,,,,,,
16961,United States,"Yes, part-time",Employed part-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering","10,000 or more employees",DevOps specialist;QA or test developer;Student,3-5 years,0-2 years,"Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",JavaScript;Python;HTML;CSS;Bash/Shell,25000,Haskell;Python,Django,,Linux-based,18 - 24 years old,25000.0
5955,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Front-end developer;Full-stack developer,6-8 years,0-2 years,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",Java;JavaScript;CSS,111300,C#;Java;JavaScript;TypeScript;CSS,React,React,MacOS,18 - 24 years old,111300.0
64712,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Educator or academic researcher,18-20 years,15-17 years,"Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",Assembly;C++;Python;Ruby;SQL;Bash/Shell,131304,,,,Windows,35 - 44 years old,131304.0
75921,South Africa,No,"Independent contractor, freelancer, or self-employed",,,,Front-end developer;Student,3-5 years,0-2 years,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course","A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",,,,,,,,
95055,Jordan,"Yes, full-time","Not employed, and not looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,,,,,,,,,,,,,
4833,Serbia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Front-end developer;Full-stack developer,6-8 years,3-5 years,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",Java;JavaScript;Objective-C;SQL;Swift;TypeScript;HTML;CSS,2100,Java;JavaScript;Objective-C;SQL;Swift;TypeScript;HTML;CSS,Angular;Node.js;React;Spring,Angular;Node.js;React;Xamarin;Spring,Windows,25 - 34 years old,30840.0
28239,Greece,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Data or business analyst;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,24-26 years,21-23 years,"Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",C++;C#;Java;JavaScript;SQL;HTML;CSS,2000,C++;Erlang;Go;Java;JavaScript;Rust;TypeScript;HTML;CSS,.NET Core;Node.js,Node.js;React;Spring,Windows,45 - 54 years old,29376.0
35892,India,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Database administrator;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer,3-5 years,3-5 years,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course",Questions & answers on Stack Overflow;The technology’s online help system,C;C++;Java;JavaScript;SQL;HTML,6,Java;JavaScript;Python;R;Scala;SQL;Kotlin,,Hadoop;Node.js;React;Spark;Spring,Windows,25 - 34 years old,0.0
54247,Iceland,"Yes, full-time",Employed part-time,Associate degree,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Designer;Full-stack developer;Game or graphics developer;Product manager;Student,3-5 years,,,,C;C++;C#;Java;JavaScript;Matlab;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,,C++;C#;Java;JavaScript;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,Angular;.NET Core,Angular;.NET Core;React,Linux-based,,
95948,India,,,,,,,,,,,,,,,,,,
35426,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;DevOps specialist,30 or more years,30 or more years,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",Groovy;JavaScript;Python;Bash/Shell,145000,Go;JavaScript;Python;Rust,,React,MacOS,45 - 54 years old,145000.0
61066,Poland,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,"10,000 or more employees",Back-end developer,3-5 years,0-2 years,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course","A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",C#;Python;SQL,7500,C#,,,Windows,25 - 34 years old,26472.0
52238,Russian Federation,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Desktop or enterprise applications developer,9-11 years,,,,C#,,C#;Java;Kotlin,,.NET Core,Windows,,
91167,Philippines,"Yes, full-time",,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Web development or web design,,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Student,3-5 years,,,,C;JavaScript;PHP;Python;HTML;CSS,,C++;C#;Java;R;VB.NET;Visual Basic 6,,,,,
28864,Philippines,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Data scientist or machine learning specialist;Educator or academic researcher;Front-end developer;Full-stack developer;Game or graphics developer;Mobile developer,6-8 years,3-5 years,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",Assembly;C;C++;C#;Java;JavaScript;Objective-C;PHP;Python;SQL;Swift;Kotlin;HTML;CSS,,Assembly;C#;Java;JavaScript;Objective-C;PHP;Python;SQL;Swift;Kotlin;HTML;CSS,Node.js,Node.js,MacOS,18 - 24 years old,
72885,Belgium,No,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,"A business discipline (ex. accounting, finance, marketing)",,"Back-end developer;C-suite executive (CEO, CTO, etc.);Designer;Front-end developer;Full-stack developer;System administrator",12-14 years,3-5 years,"Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",C#;JavaScript;PHP;SQL;Swift;HTML;CSS,5000,,Node.js,Hadoop,MacOS,18 - 24 years old,73428.0
84640,Singapore,"Yes, full-time","Not employed, and not looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Back-end developer;Database administrator;Student,3-5 years,0-2 years,"Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees",C++;JavaScript;Objective-C;PHP;SQL;Swift;HTML;CSS,,Java;Ruby,,Node.js,MacOS,Under 18 years old,
85062,New Zealand,No,"Not employed, and not looking for work",Primary/elementary school,,,Back-end developer;Desktop or enterprise applications developer;Student,0-2 years,0-2 years,"Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow,C++;C#;Go;Java;JavaScript;Lua;Objective-C;Python,,Assembly;C++;CoffeeScript;Clojure;Go;JavaScript;Python;TypeScript;Bash/Shell,Node.js,Node.js;React;Xamarin;TensorFlow,Windows,Under 18 years old,
25496,Russian Federation,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Desktop or enterprise applications developer,6-8 years,0-2 years,,,,,,,,,,
41475,Malaysia,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Database administrator;Designer;Front-end developer;Full-stack developer;Mobile developer,6-8 years,3-5 years,"Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Pre-scheduled tutoring or mentoring sessions with a friend or colleague",C++;C#;Java;JavaScript;PHP;SQL;VB.NET;HTML;CSS,,C#;Java;JavaScript;Objective-C;SQL;Swift;HTML;CSS,Angular;.NET Core;Xamarin,Angular;.NET Core;Node.js;React;Xamarin,Windows,25 - 34 years old,
48798,India,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Fewer than 10 employees,Back-end developer;Database administrator;Front-end developer;Full-stack developer;Mobile developer;System administrator,12-14 years,,,,Go;Java;JavaScript;PHP;HTML;CSS,,Go;Java;JavaScript;PHP;HTML;CSS,Node.js,Node.js,MacOS,,
33077,Romania,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Fewer than 10 employees,Back-end developer;Full-stack developer,15-17 years,9-11 years,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,JavaScript;Perl;PHP;Python;SQL;HTML,95000,JavaScript;Perl;Python;TypeScript,Node.js,Node.js,Linux-based,35 - 44 years old,95000.0
24145,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,"10,000 or more employees",Back-end developer;Database administrator,3-5 years,0-2 years,Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development,,Java,66500,Java;Python;Bash/Shell,Hadoop,Hadoop;Spark;Spring,MacOS,18 - 24 years old,66500.0
66276,India,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer,9-11 years,9-11 years,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology",C#;JavaScript;TypeScript;HTML;CSS,,Python;R;Scala,,Angular;.NET Core;Node.js;React;Xamarin,Windows,25 - 34 years old,
85191,United States,No,"Not employed, but looking for work","Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",,Data or business analyst;Data scientist or machine learning specialist;Full-stack developer,24-26 years,24-26 years,"Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",JavaScript;Python;Scala;SQL,,JavaScript;Python;Scala;SQL,Django;Hadoop;Node.js;React;Spark,Django;Node.js;React;Spark;TensorFlow,Linux-based,55 - 64 years old,
91460,Czech Republic,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",,Back-end developer;Desktop or enterprise applications developer;DevOps specialist;QA or test developer,12-14 years,,,,C++;C#;JavaScript;Objective-C;Python;Rust;SQL;Bash/Shell,,C++;C#;Python;Rust;SQL,.NET Core;Django;Node.js;React,.NET Core;Django,Linux-based,,
91196,China,"Yes, full-time","Not employed, and not looking for work","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",,Data scientist or machine learning specialist;Student,3-5 years,,,,C;C++;JavaScript;Matlab;Python;HTML;CSS;Bash/Shell,,C;C++;Matlab;Python,Node.js;TensorFlow,TensorFlow;Torch/PyTorch,Linux-based,,
